size       time          iteration
100        3294634      5251
200        722446      20501
300        1341593      45751
400        2003727      81001
500        1521242      126251
600        2271276      181501
700        3189411      246751
800        4271796      322001
900        6201098      407251
1000        8611602      502501
1100        8522420      607751
1200        9072273      723001
1300        11523840      848251
1400        13362034      983501
1500        15401050      1128751
1600        17631906      1284001
1700        19989157      1449251
1800        22406077      1624501
1900        23616142      1809751
2000        27944399      2005001
2100        28813771      2210251
2200        30759755      2425501
2300        34095451      2650751
2400        38460280      2886001
2500        41943546      3131251
2600        46178770      3386501
2700        54091666      3651751
2800        53634844      3927001
2900        58503973      4212251
3000        62167529      4507501
3100        68724716      4812751
3200        73323731      5128001
3300        83756845      5453251
3400        94923313      5788501
3500        91844258      6133751
3600        86264232      6489001
3700        94415804      6854251
3800        99249003      7229501
3900        96114770      7614751
4000        102324209      8010001
4100        106972626      8415251
4200        118015263      8830501
4300        116967525      9255751
4400        122419871      9691001
4500        136991970      10136251
4600        135785756      10591501
4700        152362865      11056751
4800        155239815      11532001
4900        165148739      12017251
5000        169479563      12512501
5100        170093578      13017751
5200        196212614      13533001
5300        191444859      14058251
5400        203813049      14593501
5500        205076367      15138751
5600        217682592      15694001
5700        226527096      16259251
5800        232771181      16834501
5900        235620543      17419751
6000        240947777      18015001
6100        257670530      18620251
6200        266682493      19235501
6300        291922533      19860751
6400        328153882      20496001
6500        317655324      21141251
6600        302923466      21796501
6700        322975501      22461751
6800        339396059      23137001
6900        357225578      23822251
7000        365253963      24517501
7100        365255887      25222751
7200        363298355      25938001
7300        377117853      26663251
7400        395496585      27398501
7500        412279650      28143751
7600        435168854      28899001
7700        453153642      29664251
7800        498451490      30439501
7900        481810862      31224751
8000        505778602      32020001
8100        532739423      32825251
8200        535628563      33640501
8300        568191865      34465751
8400        610648693      35301001
8500        583911793      36146251
8600        630622451      37001501
8700        647469676      37866751
8800        647399742      38742001
8900        639874374      39627251
9000        785063470      40522501
9100        683045948      41427751
9200        654780748      42343001
9300        654697981      43268251
9400        675933132      44203501
9500        715752970      45148751
9600        649429775      46104001
9700        712167048      47069251
9800        734680273      48044501
9900        761030929      49029751
10000        786192693      50025001
